Roll_no,Name,Dropout_Probability,Dropout_Probability_Percentage,Risk_Level,Risk_Score,attendance_percentage,fee_paid_ratio,total_failed_attempts,avg_all_marks,subjects_with_failures,payment_delay_days,marks_below_40,failure_rate,low_attendance,very_low_attendance,Recommendations
1,Aayush Rama,0.5721949464051725,57.22,Medium Risk,2,66.667,0.874,10,47.714,6,15,10,0.476,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
2,Heer Kalla,0.48094411774157264,48.09,Low Risk,1,40.0,0.568,4,63.762,4,119,4,0.19,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
3,Arhaan Borde,0.6414220571509575,64.14,Medium Risk,2,63.333,0.07,4,57.905,4,-25,4,0.19,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
4,Anahita Singh,0.6034497760304212,60.34,Medium Risk,2,53.333,0.24,7,54.619,6,-125,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
5,Khushi Zacharia,0.6202937301402776,62.03,Medium Risk,2,33.333,0.182,6,54.429,5,-77,6,0.286,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
6,Ishita Datta,0.7461176784879451,74.61,High Risk,3,50.0,0.362,10,44.238,6,39,10,0.476,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required; Payment discipline needed
7,Farhan Ahuja,0.4029498897473446,40.29,Low Risk,1,53.333,0.781,5,57.286,5,-74,5,0.238,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
8,Indranil Soman,0.766117678487945,76.61,High Risk,3,50.0,0.774,15,36.381,7,91,15,0.714,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required; Payment discipline needed
9,Mishti Desai,0.7088627765271607,70.89,High Risk,3,36.667,0.673,7,45.714,4,-263,7,0.333,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
10,Ivan Bala,0.9260869565217391,92.61,High Risk,3,43.333,0.03,8,49.476,5,5,8,0.381,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
11,Divij Ramanathan,0.6624010781299784,66.24,Medium Risk,2,56.667,0.27,9,43.81,6,-35,9,0.429,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
12,Vedika Bandi,0.6817957125559345,68.18,Medium Risk,2,56.667,0.186,10,48.524,6,-166,10,0.476,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
13,Advik Kaur,0.6005362454954073,60.05,Medium Risk,2,56.667,0.56,7,53.429,5,108,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
14,Nitara Chakrabarti,0.5922413146198312,59.22,Medium Risk,2,40.0,0.446,7,55.048,5,-145,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
15,Parinaaz Sangha,0.5653927225279985,56.54,Medium Risk,2,36.667,0.797,7,52.667,6,-19,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
16,Rania Mangat,0.6974660131949134,69.75,Medium Risk,2,43.333,0.095,8,51.19,6,-118,8,0.381,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
17,Jayesh Kapur,0.5812485553662025,58.12,Medium Risk,2,60.0,0.439,10,40.429,6,-197,10,0.476,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
18,Kabir Bhatt,0.6725192765890589,67.25,Medium Risk,2,46.667,0.327,7,53.429,4,-236,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
19,Aayush Swamy,0.6906348936503214,69.06,Medium Risk,2,36.667,0.142,7,49.048,5,-3,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
20,Yuvaan Batra,0.6315809041615493,63.16,Medium Risk,2,56.667,0.681,9,51.762,6,48,9,0.429,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
21,Zain Kala,0.47558250897515286,47.56,Low Risk,1,66.667,0.914,7,51.571,4,8,7,0.333,1,0,Monitor attendance regularly; Focus on academic improvement
22,Akarsh Chaudry,0.7261176784879451,72.61,High Risk,3,43.333,0.142,9,44.429,5,70,9,0.429,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required; Payment discipline needed
23,Diya Trivedi,0.6984924061567902,69.85,Medium Risk,2,33.333,0.054,7,45.238,5,40,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
24,Azad Saran,0.6067188310348628,60.67,Medium Risk,2,50.0,0.459,7,51.714,4,263,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
25,Zain Devi,0.746117678487945,74.61,High Risk,3,40.0,0.191,6,49.571,3,-62,6,0.286,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
26,Ira Sarraf,0.510625435945129,51.06,Medium Risk,2,56.667,0.504,5,55.571,3,-215,5,0.238,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
