student_id,student_name,student_email,attendance_percent,avg_score,fees_paid_ratio,num_failed_attempts,ML_dropout_probability,rule_dropout_probability,final_dropout_probability,risk_level
1,Pari Gupta,vaibhavraikwar505@gmail.com,16,61,0.19,3,54.45943203623245,50.0,52.675659221739465,Medium Risk
2,Rohan Verma,rohan.verma886@example.com,29,93,0.28,4,75.35418273640781,70.0,73.21250964184469,High Risk
3,Riya Verma,riya.verma577@example.com,24,80,0.19,4,49.44546114525314,70.0,57.66727668715188,Medium Risk
4,Rohan Reddy,rohan.reddy521@example.com,20,27,0.08,5,47.28140388153956,100.0,68.36884232892373,Medium Risk
5,Ishaan Gupta,ishaan.gupta751@example.com,17,86,0.14,4,91.94202690064375,70.0,83.16521614038625,High Risk
6,Vivaan Verma,vivaan.verma882@example.com,30,82,0.46,0,46.838843181441405,50.0,48.10330590886484,Medium Risk
7,Aditya Patel,aditya.patel498@example.com,16,28,0.34,2,47.05988616805815,80.0,60.23593170083489,Medium Risk
9,Vihaan Patel,vihaan.patel408@example.com,32,61,0.01,2,57.80736421946251,50.0,54.6844185316775,Medium Risk
10,Pari Rajput,pari.rajput21@example.com,20,32,0.5,4,1.9945515945123191,100.0,41.19673095670739,Medium Risk
14,Vivaan Patel,vivaan.patel878@example.com,13,56,0.13,4,70.88963926560677,70.0,70.53378355936405,High Risk
15,Aarohi Rajput,aarohi.rajput42@example.com,17,93,0.27,5,90.5160253850214,70.0,82.30961523101283,High Risk
16,Rohan Verma,rohan.verma522@example.com,33,92,0.32,1,83.30554931873203,50.0,69.98332959123923,Medium Risk
17,Vihaan Rajput,vihaan.rajput615@example.com,12,71,0.11,3,98.40437738996117,50.0,79.0426264339767,High Risk
18,Saanvi Yadav,saanvi.yadav744@example.com,31,90,0.49,0,60.65346967570902,50.0,56.39208180542541,Medium Risk
20,Aarohi Mehta,aarohi.mehta62@example.com,11,75,0.28,1,94.9981871288354,50.0,76.99891227730123,High Risk
21,Aditya Patel,aditya.patel116@example.com,33,79,0.09,2,89.36703394563435,50.0,73.6202203673806,High Risk
22,Aadhya Verma,aadhya.verma923@example.com,21,42,0.03,0,76.97489938197921,50.0,66.18493962918753,Medium Risk
23,Avni Mehta,avni.mehta75@example.com,15,59,0.16,0,64.37356408695634,50.0,58.6241384521738,Medium Risk
24,Krishna Reddy,krishna.reddy314@example.com,11,83,0.38,2,96.52889399674214,50.0,77.91733639804528,High Risk
26,Aarohi Rajput,aarohi.rajput711@example.com,10,48,0.27,4,77.50937988222375,70.0,74.50562792933425,High Risk
27,Riya Chopra,riya.chopra993@example.com,21,97,0.36,3,63.06398557729748,50.0,57.838391346378486,Medium Risk
28,Aarav Mehta,aarav.mehta290@example.com,31,70,0.05,1,88.03742540565197,50.0,72.82245524339118,High Risk
29,Vihaan Patel,vihaan.patel334@example.com,21,88,0.34,5,32.514697902681256,70.0,47.50881874160875,Medium Risk
30,Pari Sharma,pari.sharma289@example.com,34,50,0.05,4,55.056489228554994,70.0,61.033893537133,Medium Risk
32,Diya Verma,diya.verma790@example.com,19,39,0.24,5,7.207548179497235,100.0,44.32452890769834,Medium Risk
33,Pari Mehta,pari.mehta799@example.com,25,74,0.08,5,92.79040943394314,70.0,83.67424566036588,High Risk
34,Riya Verma,riya.verma20@example.com,24,100,0.17,2,92.9973913012043,50.0,75.79843478072257,High Risk
38,Aarav Chopra,aarav.chopra66@example.com,32,89,0.31,4,70.0998193628996,70.0,70.05989161773977,High Risk
39,Ishaan Sharma,ishaan.sharma820@example.com,29,86,0.05,0,95.65121709363524,50.0,77.39073025618114,High Risk
