student_id,student_name,student_email,attendance_percent,avg_score,fees_paid_ratio,num_failed_attempts,ML_dropout_probability,rule_dropout_probability,final_dropout_probability,risk_level
1,Pari Gupta,vaibhavraikwar505@gmail.com,16,61,0.19,3,91.3938327888991,50.0,74.83629967333945,High Risk
2,Rohan Verma,rohan.verma886@example.com,29,93,0.28,4,73.25397594272123,70.0,71.95238556563274,High Risk
3,Riya Verma,riya.verma577@example.com,24,80,0.19,4,72.40696948342983,70.0,71.44418169005789,High Risk
4,Rohan Reddy,rohan.reddy521@example.com,20,27,0.08,5,98.04144361911972,100.0,98.82486617147183,High Risk
5,Ishaan Gupta,ishaan.gupta751@example.com,17,86,0.14,4,72.26051905648093,70.0,71.35631143388855,High Risk
7,Aditya Patel,aditya.patel498@example.com,16,28,0.34,2,94.6772641213117,80.0,88.80635847278702,High Risk
8,Vihaan Rajput,vihaan.rajput800@example.com,28,30,0.25,0,72.2796191123513,80.0,75.36777146741078,High Risk
10,Pari Rajput,pari.rajput21@example.com,20,32,0.5,4,97.49584422148466,100.0,98.4975065328908,High Risk
11,Diya Reddy,diya.reddy568@example.com,20,55,0.34,4,71.45068523543158,70.0,70.87041114125896,High Risk
12,Ananya Reddy,ananya.reddy902@example.com,33,32,0.16,3,89.82844113965534,80.0,85.8970646837932,High Risk
13,Myra Patel,myra.patel938@example.com,30,31,0.44,2,83.50766284278065,80.0,82.1045977056684,High Risk
14,Vivaan Patel,vivaan.patel878@example.com,13,56,0.13,4,98.00813403162536,70.0,86.80488041897522,High Risk
15,Aarohi Rajput,aarohi.rajput42@example.com,17,93,0.27,5,64.87003908728207,70.0,66.92202345236925,Medium Risk
17,Vihaan Rajput,vihaan.rajput615@example.com,12,71,0.11,3,91.50267625479333,50.0,74.901605752876,High Risk
19,Avni Khan,avni.khan610@example.com,30,21,0.37,3,92.0165822568953,80.0,87.20994935413718,High Risk
20,Aarohi Mehta,aarohi.mehta62@example.com,11,75,0.28,1,79.04162209460756,50.0,67.42497325676453,Medium Risk
22,Aadhya Verma,aadhya.verma923@example.com,21,42,0.03,0,60.038952949626314,50.0,56.023371769775785,Medium Risk
23,Avni Mehta,avni.mehta75@example.com,15,59,0.16,0,73.46711839068253,50.0,64.08027103440952,Medium Risk
24,Krishna Reddy,krishna.reddy314@example.com,11,83,0.38,2,82.94411281212527,50.0,69.76646768727517,Medium Risk
25,Saanvi Mehta,saanvi.mehta494@example.com,30,42,0.13,3,86.51424566647941,50.0,71.90854739988765,High Risk
26,Aarohi Rajput,aarohi.rajput711@example.com,10,48,0.27,4,97.40569822220917,70.0,86.44341893332549,High Risk
27,Riya Chopra,riya.chopra993@example.com,21,97,0.36,3,43.64054586184769,50.0,46.18432751710861,Medium Risk
29,Vihaan Patel,vihaan.patel334@example.com,21,88,0.34,5,75.54585351135084,70.0,73.3275121068105,High Risk
30,Pari Sharma,pari.sharma289@example.com,34,50,0.05,4,80.1607086020583,70.0,76.09642516123498,High Risk
32,Diya Verma,diya.verma790@example.com,19,39,0.24,5,98.2294590994,100.0,98.93767545963999,High Risk
33,Pari Mehta,pari.mehta799@example.com,25,74,0.08,5,86.00258609273958,70.0,79.60155165564375,High Risk
35,Vivaan Khan,vivaan.khan70@example.com,24,21,0.21,1,85.5457685734203,80.0,83.32746114405218,High Risk
37,Saanvi Sharma,saanvi.sharma657@example.com,21,32,0.37,1,86.61461954916325,80.0,83.96877172949794,High Risk
38,Aarav Chopra,aarav.chopra66@example.com,32,89,0.31,4,72.6710625930513,70.0,71.60263755583078,High Risk
40,Pari Patel,pari.patel509@example.com,34,77,0.08,4,74.15779648819853,70.0,72.49467789291911,High Risk
41,Avni Gupta,avni.gupta303@example.com,12,94,0.05,3,87.39801244174248,50.0,72.43880746504549,High Risk
42,Riya Sharma,riya.sharma884@example.com,14,83,0.29,5,96.80552609909678,70.0,86.08331565945807,High Risk
43,Isha Reddy,isha.reddy112@example.com,28,88,0.44,5,69.42450572643988,70.0,69.65470343586392,Medium Risk
44,Ishaan Patel,ishaan.patel726@example.com,16,78,0.22,0,66.52288822690359,50.0,59.913732936142154,Medium Risk
45,Ananya Patel,ananya.patel129@example.com,30,79,0.08,3,37.21445356850687,50.0,42.32867214110412,Medium Risk
47,Ananya Rajput,ananya.rajput235@example.com,16,35,0.41,5,98.82698231695373,100.0,99.29618939017223,High Risk
48,Avni Verma,avni.verma184@example.com,27,87,0.37,4,48.73464765858741,70.0,57.240788595152445,Medium Risk
49,Riya Verma,riya.verma713@example.com,13,34,0.44,1,91.42840946627322,80.0,86.85704567976393,High Risk
50,Myra Mehta,myra.mehta291@example.com,34,74,0.14,5,83.94532023718746,70.0,78.36719214231248,High Risk
53,Saanvi Patel,saanvi.patel223@example.com,18,33,0.33,5,98.22538875671984,100.0,98.9352332540319,High Risk
54,Saanvi Verma,saanvi.verma978@example.com,30,68,0.16,4,76.11003623837543,70.0,73.66602174302525,High Risk
55,Saanvi Khan,saanvi.khan359@example.com,11,26,0.37,0,90.2620391416862,80.0,86.15722348501171,High Risk
57,Pari Yadav,pari.yadav449@example.com,24,68,0.31,4,61.33975651705619,70.0,64.80385391023371,Medium Risk
58,Vihaan Yadav,vihaan.yadav226@example.com,16,35,0.34,3,96.86663502907507,80.0,90.11998101744504,High Risk
62,Saanvi Verma,saanvi.verma516@example.com,12,61,0.42,3,94.0900447852026,50.0,76.45402687112156,High Risk
63,Sara Verma,sara.verma305@example.com,23,36,0.42,4,96.06253644773439,100.0,97.63752186864063,High Risk
65,Vivaan Khan,vivaan.khan730@example.com,13,64,0.01,0,59.11905873104517,50.0,55.4714352386271,Medium Risk
66,Rohan Gupta,rohan.gupta550@example.com,27,96,0.37,4,35.97886339724257,70.0,49.58731803834554,Medium Risk
67,Diya Patel,diya.patel978@example.com,17,26,0.38,4,97.16316203592336,100.0,98.29789722155402,High Risk
68,Sara Chopra,sara.chopra940@example.com,13,46,0.34,1,69.84152188877036,50.0,61.90491313326221,Medium Risk
69,Ishaan Sharma,ishaan.sharma200@example.com,11,29,0.38,1,94.58356156137803,80.0,88.75013693682682,High Risk
70,Ananya Gupta,ananya.gupta531@example.com,15,53,0.42,0,75.41552546712774,50.0,65.24931528027665,Medium Risk
71,Avni Gupta,avni.gupta274@example.com,31,55,0.24,5,88.3111835749969,70.0,80.98671014499814,High Risk
72,Pari Gupta,pari.gupta244@example.com,19,44,0.25,5,86.6812140329916,70.0,80.00872841979496,High Risk
73,Aadhya Reddy,aadhya.reddy737@example.com,13,25,0.06,4,98.78544338892969,100.0,99.27126603335782,High Risk
74,Pari Chopra,pari.chopra791@example.com,31,43,0.19,1,34.75434218131607,50.0,40.85260530878964,Medium Risk
75,Diya Gupta,diya.gupta83@example.com,27,37,0.32,2,78.89119284839474,80.0,79.33471570903684,High Risk
76,Aadhya Yadav,aadhya.yadav13@example.com,21,25,0.39,2,90.42179202197221,80.0,86.25307521318332,High Risk
77,Arjun Khan,arjun.khan414@example.com,11,48,0.11,4,97.24528355148972,70.0,86.34717013089383,High Risk
79,Aarohi Khan,aarohi.khan466@example.com,13,74,0.33,0,73.08281093822957,50.0,63.84968656293774,Medium Risk
82,Myra Reddy,myra.reddy939@example.com,24,43,0.01,2,36.201670338163794,50.0,41.721002202898276,Medium Risk
86,Aarohi Rajput,aarohi.rajput677@example.com,34,22,0.2,0,72.06729602438061,80.0,75.24037761462836,High Risk
88,Sara Rajput,sara.rajput134@example.com,30,57,0.26,4,78.84135717641877,70.0,75.30481430585127,High Risk
89,Isha Verma,isha.verma922@example.com,25,80,0.36,5,91.44037717195465,70.0,82.86422630317279,High Risk
91,Aadhya Yadav,aadhya.yadav575@example.com,27,70,0.11,5,89.31603058186336,70.0,81.58961834911801,High Risk
93,Rohan Reddy,rohan.reddy697@example.com,30,40,0.03,1,54.06305520430371,50.0,52.43783312258223,Medium Risk
95,Isha Reddy,isha.reddy918@example.com,34,75,0.3,5,81.05857345940039,70.0,76.63514407564023,High Risk
97,Diya Mehta,diya.mehta744@example.com,18,91,0.01,4,66.50139783631883,70.0,67.90083870179129,Medium Risk
98,Rohan Gupta,rohan.gupta58@example.com,24,70,0.16,5,84.09899062109349,70.0,78.45939437265609,High Risk
99,Sara Verma,sara.verma394@example.com,22,39,0.32,3,93.12982654818263,80.0,87.87789592890958,High Risk
100,Pari Gupta,pari.gupta706@example.com,10,78,0.07,0,73.76334586936494,50.0,64.25800752161896,Medium Risk
102,Avni Patel,avni.patel447@example.com,16,28,0.37,1,91.80575200043704,80.0,87.08345120026223,High Risk
103,Aadhya Yadav,aadhya.yadav39@example.com,18,20,0.49,2,93.21376714274973,80.0,87.92826028564983,High Risk
105,Avni Verma,avni.verma29@example.com,10,82,0.41,2,84.05198917517474,50.0,70.43119350510484,High Risk
106,Sai Gupta,sai.gupta717@example.com,21,91,0.26,3,35.660130558458114,50.0,41.39607833507487,Medium Risk
108,Riya Khan,riya.khan483@example.com,33,87,0.06,5,80.79419732168627,70.0,76.47651839301176,High Risk
110,Myra Rajput,myra.rajput525@example.com,28,22,0.12,3,92.18402929218159,80.0,87.31041757530895,High Risk
111,Avni Yadav,avni.yadav173@example.com,26,26,0.19,0,75.03370186111513,80.0,77.02022111666908,High Risk
112,Diya Reddy,diya.reddy345@example.com,17,46,0.03,5,68.6859576191567,70.0,69.21157457149403,Medium Risk
113,Ananya Verma,ananya.verma123@example.com,12,20,0.4,2,97.02912154717505,80.0,90.21747292830503,High Risk
114,Ishaan Khan,ishaan.khan8@example.com,12,99,0.38,1,79.45722989976366,50.0,67.67433793985819,Medium Risk
115,Arjun Gupta,arjun.gupta387@example.com,10,90,0.37,1,45.98857922291628,50.0,47.59314753374977,Medium Risk
116,Pari Yadav,pari.yadav287@example.com,14,63,0.15,1,76.64256515638965,50.0,65.98553909383378,Medium Risk
118,Vivaan Khan,vivaan.khan552@example.com,16,94,0.32,1,73.03011914068142,50.0,63.818071484408854,Medium Risk
119,Aditya Gupta,aditya.gupta907@example.com,18,61,0.25,4,79.65195902460059,70.0,75.79117541476035,High Risk
120,Myra Reddy,myra.reddy545@example.com,16,52,0.09,0,66.4330727166246,50.0,59.859843629974755,Medium Risk
121,Pari Khan,pari.khan814@example.com,18,69,0.34,3,54.26755259886096,50.0,52.56053155931657,Medium Risk
122,Vivaan Yadav,vivaan.yadav583@example.com,17,82,0.5,5,91.25716326460534,70.0,82.7542979587632,High Risk
124,Isha Mehta,isha.mehta422@example.com,11,78,0.37,0,76.93809942183866,50.0,66.1628596531032,Medium Risk
125,Ishaan Chopra,ishaan.chopra737@example.com,10,100,0.48,2,79.0041991659661,50.0,67.40251949957965,Medium Risk
127,Pari Mehta,pari.mehta442@example.com,32,24,0.28,0,77.50943730451608,80.0,78.50566238270966,High Risk
128,Arjun Mehta,arjun.mehta466@example.com,32,67,0.49,4,68.60133470055504,70.0,69.16080082033302,Medium Risk
129,Sara Reddy,sara.reddy223@example.com,33,22,0.08,2,82.1346303055181,80.0,81.28077818331086,High Risk
130,Saanvi Verma,saanvi.verma910@example.com,14,66,0.35,4,97.80402051845543,70.0,86.68241231107325,High Risk
131,Isha Rajput,isha.rajput28@example.com,12,81,0.29,5,96.41232963463432,70.0,85.8473977807806,High Risk
132,Isha Chopra,isha.chopra799@example.com,21,33,0.29,0,72.31524033442435,80.0,75.38914420065461,High Risk
133,Rohan Reddy,rohan.reddy810@example.com,17,82,0.35,4,67.12141070291715,70.0,68.27284642175029,Medium Risk
134,Aarav Chopra,aarav.chopra815@example.com,31,80,0.46,5,82.57271035513035,70.0,77.54362621307821,High Risk
135,Ishaan Patel,ishaan.patel833@example.com,12,50,0.39,0,79.77260864364062,50.0,67.86356518618437,Medium Risk
136,Myra Sharma,myra.sharma376@example.com,10,36,0.03,0,86.13712921753395,80.0,83.68227753052037,High Risk
137,Vivaan Reddy,vivaan.reddy633@example.com,12,43,0.43,4,97.60971205827428,70.0,86.56582723496456,High Risk
138,Sai Reddy,sai.reddy457@example.com,14,42,0.11,0,74.04168195129726,50.0,64.42500917077837,Medium Risk
141,Sai Khan,sai.khan35@example.com,12,98,0.24,3,89.99259891998676,50.0,73.99555935199206,High Risk
142,Myra Khan,myra.khan981@example.com,10,98,0.22,5,96.31598967147683,70.0,85.78959380288609,High Risk
144,Ishaan Reddy,ishaan.reddy626@example.com,32,46,0.35,3,38.31340536726886,50.0,42.98804322036131,Medium Risk
145,Avni Reddy,avni.reddy809@example.com,23,34,0.32,0,70.66566686886921,80.0,74.39940012132152,High Risk
146,Riya Gupta,riya.gupta446@example.com,16,69,0.02,0,63.10181582591866,50.0,57.8610894955512,Medium Risk
147,Arjun Verma,arjun.verma634@example.com,18,55,0.45,4,89.99553381488158,70.0,81.99732028892895,High Risk
148,Sai Mehta,sai.mehta332@example.com,24,27,0.45,1,84.00044040929619,80.0,82.40026424557772,High Risk
149,Vihaan Yadav,vihaan.yadav795@example.com,24,98,0.39,5,30.284807370895212,70.0,46.17088442253713,Medium Risk
150,Vivaan Verma,vivaan.verma598@example.com,19,22,0.0,1,85.15096734380859,80.0,83.09058040628514,High Risk
152,Saanvi Gupta,saanvi.gupta573@example.com,28,66,0.11,4,83.84602997964137,70.0,78.30761798778482,High Risk
153,Riya Rajput,riya.rajput932@example.com,16,96,0.07,4,88.06652765285692,70.0,80.83991659171414,High Risk
155,Vivaan Rajput,vivaan.rajput311@example.com,29,51,0.46,4,83.72642105756721,70.0,78.23585263454032,High Risk
156,Aditya Sharma,aditya.sharma184@example.com,13,32,0.24,1,90.66769057263686,80.0,86.4006143435821,High Risk
157,Diya Yadav,diya.yadav24@example.com,14,20,0.01,4,99.12818857834007,100.0,99.47691314700404,High Risk
159,Aadhya Verma,aadhya.verma202@example.com,16,81,0.02,1,68.04574180403048,50.0,60.827445082418286,Medium Risk
161,Sai Reddy,sai.reddy388@example.com,24,97,0.14,3,58.181382217873555,50.0,54.90882933072413,Medium Risk
162,Ishaan Verma,ishaan.verma720@example.com,20,90,0.14,4,55.29113472218206,70.0,61.17468083330923,Medium Risk
163,Arjun Chopra,arjun.chopra826@example.com,13,50,0.39,4,97.0698657580927,70.0,86.24191945485562,High Risk
165,Riya Verma,riya.verma868@example.com,16,44,0.19,0,48.4877966893983,50.0,49.09267801363898,Medium Risk
167,Diya Gupta,diya.gupta997@example.com,31,33,0.42,5,96.77426628773014,100.0,98.06455977263809,High Risk
168,Diya Verma,diya.verma673@example.com,11,27,0.13,0,90.45302362426845,80.0,86.27181417456107,High Risk
169,Rohan Verma,rohan.verma467@example.com,19,73,0.08,4,76.24425086648203,70.0,73.74655051988921,High Risk
170,Sara Rajput,sara.rajput741@example.com,22,21,0.43,3,94.98117020441997,80.0,88.98870212265197,High Risk
173,Aarohi Sharma,aarohi.sharma633@example.com,15,75,0.28,3,90.83430704349392,50.0,74.50058422609635,High Risk
175,Aarohi Mehta,aarohi.mehta440@example.com,21,41,0.16,3,92.09150471119267,50.0,75.25490282671561,High Risk
177,Isha Yadav,isha.yadav500@example.com,20,35,0.04,4,96.73159802053017,100.0,98.0389588123181,High Risk
180,Vihaan Sharma,vihaan.sharma860@example.com,16,36,0.27,4,98.3406775565293,100.0,99.00440653391757,High Risk
